seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1776348656.572714,camera_init,-0.019699,-0.163739,0.000000,0.004310,0.005882,0.009505,0.999928,0.019061,none,0.300
1,1776348664.772454,camera_init,0.292784,-0.152490,0.000000,0.005601,0.006408,0.009773,0.999916,0.019620,none,0.300
2,1776348666.072535,camera_init,0.620932,-0.201640,0.000000,0.009717,0.005905,-0.068853,0.997562,-0.137701,none,0.300
3,1776348667.372469,camera_init,0.927355,-0.295842,0.000000,0.010512,0.002473,-0.161642,0.986790,-0.324645,none,0.300
4,1776348668.472486,camera_init,1.202612,-0.462433,0.000000,0.015300,0.004471,-0.250403,0.968011,-0.506034,none,0.300
5,1776348669.472387,camera_init,1.470088,-0.633400,0.000000,0.018204,0.004953,-0.287600,0.957565,-0.583227,none,0.300
6,1776348670.472449,camera_init,1.747221,-0.797722,0.000000,0.014782,0.001540,-0.258885,0.965794,-0.523647,none,0.300
7,1776348671.372357,camera_init,2.039153,-0.886089,0.000000,0.011592,0.007283,-0.158868,0.987205,-0.318932,none,0.300
8,1776348672.272451,camera_init,2.343619,-0.910427,0.000000,0.008305,0.007082,-0.049322,0.998723,-0.098572,none,0.300
9,1776348673.172375,camera_init,2.661475,-0.912689,0.000000,0.006955,0.008508,0.009423,0.999895,0.018967,none,0.300
10,1776348673.972269,camera_init,2.932060,-0.803835,0.000000,-0.000514,0.009241,0.183750,0.982929,0.369638,none,0.300
11,1776348674.372297,camera_init,3.016215,-0.672856,0.000000,-0.009317,0.011742,0.355600,0.934518,0.727067,none,0.300
12,1776348675.072429,camera_init,3.111976,-0.435337,0.000000,-0.014060,0.013100,0.513078,0.858127,1.077557,none,0.300
13,1776348675.972256,camera_init,3.139661,-0.127120,0.000000,-0.021360,0.012341,0.654604,0.755569,1.427469,none,0.300
14,1776348676.872272,camera_init,3.072456,0.187151,0.000000,-0.027570,0.015417,0.765284,0.642918,1.743783,none,0.300
15,1776348677.772407,camera_init,2.951764,0.473613,0.000000,-0.029457,0.012490,0.828872,0.558522,1.955312,none,0.300
16,1776348678.672417,camera_init,2.799041,0.752247,0.000000,-0.030960,0.014866,0.853351,0.520205,2.046457,none,0.300
17,1776348709.275288,camera_init,2.697381,0.969968,0.000000,-0.030249,0.012809,0.852205,0.522175,2.041814,stop_30s,0.300
18,1776348723.372381,camera_init,2.553114,1.243505,0.000000,-0.028135,0.012484,0.852757,0.521401,2.043784,none,0.300
19,1776348724.572402,camera_init,2.370343,1.485010,0.000000,-0.033855,0.014030,0.906450,0.420720,2.272380,none,0.300
20,1776348725.872289,camera_init,2.088370,1.633110,0.000000,-0.036197,0.013606,0.968445,0.246208,2.644009,none,0.300
21,1776348727.170256,camera_init,1.769284,1.661992,0.000000,-0.038486,0.013948,0.995566,0.084692,2.972705,none,0.300
22,1776348728.472464,camera_init,1.459838,1.608889,0.000000,-0.036812,0.012313,0.995531,-0.086086,-2.967974,none,0.300
23,1776348729.572251,camera_init,1.247939,1.466000,0.000000,-0.038732,0.010315,0.964323,-0.261678,-2.610238,none,0.300
24,1776348730.872470,camera_init,1.046565,1.241959,0.000000,-0.037266,0.007096,0.914794,-0.402134,-2.311920,none,0.300
25,1776348732.272492,camera_init,0.853285,0.991007,0.000000,-0.037817,0.007748,0.914198,-0.403426,-2.309009,none,0.300
26,1776348733.572440,camera_init,0.643157,0.750741,0.000000,-0.036303,0.006384,0.913728,-0.404652,-2.306535,none,0.300
27,1776348734.572639,camera_init,0.491292,0.480760,0.000000,0.036707,-0.005910,-0.854775,0.517665,-2.051149,none,0.300
28,1776348735.572651,camera_init,0.448302,0.165685,0.000000,0.035092,-0.002378,-0.760951,0.647856,-1.729768,none,0.300
29,1776348736.569515,camera_init,0.484706,-0.140169,0.000000,0.032665,-0.002828,-0.671470,0.740306,-1.472320,none,0.300
