seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1776862972.616368,camera_init,-0.047105,0.020685,0.000000,0.002565,0.017633,-0.007140,0.999816,-0.014197,none,0.300
1,1776862976.815359,camera_init,0.261243,0.026365,0.000000,0.001182,0.011882,0.000209,0.999929,0.000445,none,0.300
2,1776862978.016529,camera_init,0.576759,0.032897,0.000000,0.002508,0.014665,0.002237,0.999887,0.004549,none,0.300
3,1776862979.112643,camera_init,0.903307,0.036727,0.000000,0.000927,0.014378,0.005594,0.999881,0.011218,none,0.300
4,1776862980.115274,camera_init,1.226173,0.045293,0.000000,0.002929,0.013284,0.006529,0.999886,0.013139,none,0.300
5,1776862981.015417,camera_init,1.528643,0.049458,0.000000,0.001015,0.013596,0.008538,0.999871,0.017108,none,0.300
6,1776862981.716526,camera_init,1.876369,0.068156,0.000000,0.001039,0.013189,0.016320,0.999779,0.032678,none,0.300
7,1776862982.415344,camera_init,2.184916,0.069965,0.000000,0.002767,0.015921,0.015280,0.999753,0.030661,none,0.300
8,1776862983.215462,camera_init,2.514186,0.091755,0.000000,0.001973,0.014450,0.016619,0.999756,0.033306,none,0.300
9,1776862984.015442,camera_init,2.829688,0.093760,0.000000,0.002129,0.012675,0.018223,0.999751,0.036511,none,0.300
10,1776862984.716547,camera_init,3.132862,0.114345,0.000000,-0.001763,0.013006,0.029447,0.999480,0.058871,none,0.300
11,1776862985.415442,camera_init,3.463298,0.155709,0.000000,-0.000750,0.011742,0.071841,0.997347,0.143817,none,0.300
12,1776862986.115571,camera_init,3.774605,0.237280,0.000000,-0.002368,0.012935,0.144145,0.989469,0.289311,none,0.300
13,1776862986.815451,camera_init,4.064833,0.407247,0.000000,-0.005939,0.014129,0.241751,0.970217,0.488327,none,0.300
14,1776862987.415461,camera_init,4.362677,0.578586,0.000000,-0.005779,0.015899,0.272680,0.961956,0.552394,none,0.300
15,1776862988.015469,camera_init,4.617802,0.776325,0.000000,-0.011026,0.018353,0.324826,0.945531,0.661627,none,0.300
16,1776862988.616646,camera_init,4.847766,0.997949,0.000000,-0.014111,0.019596,0.378904,0.925121,0.777197,none,0.300
17,1776862989.213030,camera_init,5.043960,1.263705,0.000000,-0.018291,0.020128,0.441802,0.896700,0.915183,none,0.300
18,1776862989.815463,camera_init,5.200329,1.546403,0.000000,-0.018818,0.020323,0.507867,0.860990,1.065548,none,0.300
19,1776862990.415324,camera_init,5.300706,1.877816,0.000000,-0.020647,0.021230,0.584783,0.810649,1.249603,none,0.300
20,1776862991.015627,camera_init,5.332610,2.180148,0.000000,-0.026088,0.021219,0.666368,0.744864,1.459314,none,0.300
21,1776862991.615680,camera_init,5.357488,2.504366,0.000000,-0.021799,0.022122,0.675966,0.736278,1.485367,none,0.300
22,1776862992.215566,camera_init,5.378197,2.844868,0.000000,-0.024266,0.019224,0.686338,0.726624,1.513515,none,0.300
23,1776862992.815705,camera_init,5.387702,3.174432,0.000000,-0.023350,0.023445,0.695450,0.717813,1.539121,none,0.300
24,1776862993.415892,camera_init,5.402059,3.509717,0.000000,-0.026315,0.016890,0.702519,0.710978,1.558410,none,0.300
25,1776862994.015726,camera_init,5.397775,3.842918,0.000000,-0.022692,0.020613,0.705674,0.707873,1.567592,none,0.300
26,1776862994.615663,camera_init,5.393869,4.170988,0.000000,-0.024903,0.019499,0.705060,0.708442,1.565765,none,0.300
27,1776862995.115366,camera_init,5.400648,4.481261,0.000000,-0.024142,0.022088,0.706890,0.706566,1.571161,none,0.300
28,1776862995.715655,camera_init,5.391219,4.836855,0.000000,-0.022107,0.020904,0.708571,0.704984,1.575825,none,0.300
29,1776862996.315612,camera_init,5.385653,5.193056,0.000000,-0.022238,0.020814,0.713285,0.700212,1.589249,none,0.300
30,1776862996.815730,camera_init,5.376137,5.519241,0.000000,-0.023509,0.022615,0.717244,0.696058,1.600766,none,0.300
31,1776862997.315474,camera_init,5.369205,5.870529,0.000000,-0.023812,0.020445,0.717489,0.695862,1.601279,none,0.300
32,1776862997.815275,camera_init,5.355095,6.202377,0.000000,-0.024863,0.023117,0.717043,0.696202,1.600238,none,0.300
33,1776862998.315404,camera_init,5.346148,6.511075,0.000000,-0.024117,0.020324,0.718472,0.694841,1.604098,none,0.300
34,1776862998.815802,camera_init,5.342808,6.816815,0.000000,-0.020374,0.022212,0.708875,0.704690,1.576800,none,0.300
35,1776862999.313034,camera_init,5.333066,7.148209,0.000000,-0.026005,0.025527,0.710958,0.702290,1.583054,none,0.300
36,1776862999.815862,camera_init,5.328502,7.481108,0.000000,-0.025598,0.021266,0.712652,0.700728,1.587484,none,0.300
37,1776863000.315267,camera_init,5.313763,7.818666,0.000000,-0.028409,0.025168,0.713393,0.699736,1.589978,none,0.300
38,1776863000.815413,camera_init,5.300861,8.170345,0.000000,-0.023134,0.023135,0.717141,0.696160,1.600516,none,0.300
39,1776863001.315807,camera_init,5.290004,8.512470,0.000000,-0.026351,0.022725,0.718741,0.694406,1.605097,none,0.300
40,1776863001.815268,camera_init,5.275918,8.876602,0.000000,-0.027544,0.025375,0.720003,0.692959,1.609010,none,0.300
41,1776863002.415300,camera_init,5.267996,9.225472,0.000000,-0.030573,0.018873,0.719572,0.693488,1.607174,none,0.300
42,1776863003.015408,camera_init,5.241987,9.573507,0.000000,-0.025494,0.022880,0.719632,0.693510,1.607680,none,0.300
43,1776863003.615438,camera_init,5.228840,9.918572,0.000000,-0.027981,0.023594,0.720873,0.692100,1.611345,none,0.300
44,1776863004.115481,camera_init,5.217595,10.235748,0.000000,-0.027078,0.022506,0.721295,0.691733,1.612456,none,0.300
45,1776863004.715390,camera_init,5.213535,10.594746,0.000000,-0.028384,0.024855,0.707208,0.705998,1.572323,none,0.300
46,1776863005.215428,camera_init,5.219014,10.945743,0.000000,-0.023996,0.024853,0.688168,0.724728,1.519036,none,0.300
47,1776863005.715380,camera_init,5.235003,11.285191,0.000000,-0.025521,0.027155,0.686865,0.725829,1.515658,none,0.300
48,1776863006.215437,camera_init,5.247794,11.592386,0.000000,-0.025835,0.024293,0.687587,0.725235,1.517370,none,0.300
49,1776863006.715433,camera_init,5.255739,11.936902,0.000000,-0.029180,0.025177,0.694457,0.718501,1.536498,none,0.300
50,1776863007.215391,camera_init,5.256712,12.281714,0.000000,-0.024367,0.028696,0.702603,0.710586,1.559713,none,0.300
