seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1787055141.250338,camera_init,0.079269,-0.058100,0.000000,-0.005311,0.008692,0.000702,0.999948,0.001312,none,0.250
1,1787055159.651233,camera_init,0.229412,-0.059419,0.000000,-0.006018,0.009538,-0.002291,0.999934,-0.004698,none,0.250
2,1787055160.750204,camera_init,0.393478,-0.071292,0.000000,-0.003344,0.007670,-0.017959,0.999804,-0.035975,none,0.250
3,1787055162.549941,camera_init,0.555438,-0.077210,0.000000,-0.001050,0.009442,-0.016556,0.999818,-0.033138,none,0.250
4,1787055163.350480,camera_init,0.728321,-0.088235,0.000000,-0.012580,0.010136,-0.014446,0.999765,-0.029150,none,0.250
5,1787055164.350382,camera_init,0.887968,-0.097848,0.000000,-0.005221,0.007696,-0.015009,0.999844,-0.030102,none,0.250
6,1787055165.349987,camera_init,1.053002,-0.109323,0.000000,-0.008490,0.008678,-0.019337,0.999739,-0.038827,none,0.250
7,1787055166.150093,camera_init,1.216556,-0.120022,0.000000,-0.005544,0.008920,-0.018748,0.999769,-0.037602,none,0.250
8,1787055167.050068,camera_init,1.371271,-0.132977,0.000000,-0.004455,0.008148,-0.022192,0.999711,-0.044463,none,0.250
9,1787055167.850650,camera_init,1.532549,-0.143033,0.000000,-0.000631,0.010568,-0.022728,0.999686,-0.045482,none,0.250
10,1787055168.650038,camera_init,1.684819,-0.151406,0.000000,-0.003690,0.010425,-0.023578,0.999661,-0.047245,none,0.250
11,1787055169.549948,camera_init,1.851914,-0.163960,0.000000,-0.002434,0.010815,-0.018643,0.999765,-0.037347,none,0.250
12,1787055170.250006,camera_init,2.004089,-0.174642,0.000000,-0.004056,0.008426,-0.018381,0.999787,-0.036836,none,0.250
13,1787055171.050105,camera_init,2.164135,-0.185454,0.000000,-0.007707,0.010510,-0.017262,0.999766,-0.034693,none,0.250
14,1787055171.949949,camera_init,2.324114,-0.191039,0.000000,-0.001963,0.011923,-0.015292,0.999810,-0.030638,none,0.250
15,1787055172.750131,camera_init,2.484699,-0.202969,0.000000,-0.001231,0.009977,-0.012991,0.999865,-0.026010,none,0.250
16,1787055173.350021,camera_init,2.635611,-0.208535,0.000000,0.001116,0.010059,-0.017191,0.999801,-0.034366,none,0.250
17,1787055173.850097,camera_init,2.797897,-0.219670,0.000000,0.000151,0.011404,-0.017975,0.999773,-0.035955,none,0.250
18,1787055174.450024,camera_init,2.955648,-0.231222,0.000000,-0.003236,0.010782,-0.018630,0.999763,-0.037338,none,0.250
