seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
49,1784445521.088285,camera_init,7.858476,-0.296768,0.000000,0.004227,0.013033,0.011829,0.999836,0.023774,none,0.250
50,1784445521.987743,camera_init,8.012501,-0.295806,0.000000,0.003339,0.009869,0.012314,0.999870,0.024697,none,0.250
51,1784445522.887874,camera_init,8.175826,-0.296429,0.000000,0.003910,0.013771,0.009881,0.999849,0.019875,none,0.250
52,1784445523.888565,camera_init,8.339703,-0.295706,0.000000,0.006422,0.009341,0.007111,0.999910,0.014344,none,0.250
53,1784445524.687543,camera_init,8.492764,-0.306401,0.000000,0.003830,0.014606,-0.004475,0.999876,-0.008840,none,0.250
54,1784445525.688211,camera_init,8.644338,-0.309798,0.000000,0.009383,0.010359,-0.013822,0.999807,-0.027454,none,0.250
55,1784445526.787711,camera_init,8.815917,-0.321029,0.000000,0.003400,0.010125,-0.016187,0.999812,-0.032312,none,0.250
56,1784445527.587693,camera_init,8.966745,-0.322249,0.000000,0.006997,0.013561,-0.015487,0.999764,-0.030794,none,0.250
57,1784445528.587831,camera_init,9.128593,-0.320496,0.000000,0.010308,0.008817,-0.013506,0.999817,-0.026833,none,0.250
58,1784445529.588004,camera_init,9.289122,-0.328369,0.000000,0.007533,0.011937,-0.012080,0.999827,-0.023985,none,0.250
59,1784445530.387572,camera_init,9.445437,-0.330114,0.000000,0.006484,0.016726,-0.009520,0.999794,-0.018830,none,0.250
60,1784445531.587563,camera_init,9.608976,-0.324901,0.000000,0.012122,0.014117,-0.006912,0.999803,-0.013485,none,0.250
61,1784445532.587592,camera_init,9.767083,-0.334249,0.000000,0.010651,0.011754,-0.008273,0.999840,-0.016298,none,0.250
62,1784445533.687916,camera_init,9.932428,-0.345268,0.000000,0.009061,0.009070,-0.008390,0.999883,-0.016617,none,0.250
63,1784445534.687938,camera_init,10.092601,-0.344679,0.000000,0.005857,0.007631,-0.009052,0.999913,-0.018017,none,0.250
64,1784445535.587610,camera_init,10.245425,-0.343871,0.000000,0.006431,0.008600,-0.010896,0.999883,-0.021683,none,0.250
65,1784445536.487518,camera_init,10.410324,-0.350214,0.000000,0.009500,0.014096,-0.011169,0.999793,-0.022077,none,0.250
66,1784445537.288486,camera_init,10.580687,-0.349335,0.000000,0.007236,0.012190,-0.007338,0.999873,-0.014502,none,0.250
67,1784445537.888034,camera_init,10.747676,-0.345486,0.000000,0.013184,0.016564,-0.005758,0.999759,-0.011082,none,0.250
68,1784445538.587309,camera_init,10.923575,-0.359380,0.000000,0.009477,0.013559,-0.004036,0.999855,-0.007816,none,0.250
