seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1775291010.626602,camera_init,-0.041891,-0.020059,0.000000,0.005664,0.004101,0.028281,0.999576,0.056616,none,0.300
1,1775291019.224377,camera_init,0.281648,-0.007967,0.000000,0.004264,0.004983,0.030423,0.999516,0.060899,none,0.300
2,1775291020.124464,camera_init,0.578842,-0.053323,0.000000,0.007709,0.002584,-0.073921,0.997231,-0.147935,none,0.300
3,1775291021.026834,camera_init,0.879609,-0.130121,0.000000,0.010393,0.004438,-0.108827,0.993996,-0.217991,none,0.300
4,1775291021.926741,camera_init,1.182664,-0.195261,0.000000,0.011208,0.003008,-0.107290,0.994160,-0.214917,none,0.300
5,1775291022.926836,camera_init,1.515515,-0.263774,0.000000,0.010494,0.003685,-0.110028,0.993866,-0.220419,none,0.300
6,1775291023.826819,camera_init,1.837077,-0.346590,0.000000,0.011439,0.003822,-0.116970,0.993062,-0.234382,none,0.300
7,1775291024.726827,camera_init,2.166463,-0.425382,0.000000,0.010260,0.003804,-0.114886,0.993318,-0.230197,none,0.300
8,1775291025.726768,camera_init,2.478033,-0.497089,0.000000,0.009780,0.003633,-0.093513,0.995563,-0.187225,none,0.300
9,1775291026.826783,camera_init,2.797556,-0.484291,0.000000,0.003655,0.006716,0.034557,0.999373,0.069181,none,0.300
10,1775291027.926829,camera_init,3.086832,-0.380624,0.000000,-0.000104,0.008772,0.157561,0.987470,0.316475,none,0.300
11,1775291028.926820,camera_init,3.360787,-0.225066,0.000000,-0.003147,0.008201,0.251037,0.967938,0.507506,none,0.300
12,1775291029.826814,camera_init,3.618497,-0.037817,0.000000,-0.004709,0.011704,0.319863,0.947380,0.651205,none,0.300
13,1775291031.126910,camera_init,3.834043,0.191244,0.000000,-0.008837,0.010928,0.392959,0.919449,0.807675,none,0.300
14,1775291032.527034,camera_init,4.002956,0.455827,0.000000,-0.015532,0.012343,0.505628,0.862523,1.060186,none,0.300
15,1775291033.826909,camera_init,3.951848,0.526979,0.000000,-0.018155,0.012309,0.659814,0.751109,1.441330,none,0.300
16,1775291034.926930,camera_init,3.853487,0.600034,0.000000,-0.023757,0.013859,0.788258,0.614730,1.816714,none,0.300
17,1775291036.226919,camera_init,3.739867,0.689958,0.000000,-0.029638,0.015152,0.886838,0.460879,2.183030,none,0.300
18,1775291038.327006,camera_init,3.512214,0.909305,0.000000,-0.031426,0.016428,0.920718,0.388614,2.343013,none,0.300
19,1775291040.627109,camera_init,3.285700,1.140825,0.000000,-0.032295,0.016379,0.923211,0.382582,2.356070,none,0.300
20,1775291042.027034,camera_init,3.091870,1.372235,0.000000,-0.028823,0.016275,0.915751,0.400381,2.317470,none,0.300
21,1775291043.427234,camera_init,2.878127,1.595493,0.000000,-0.029903,0.016954,0.913317,0.405796,2.305598,none,0.300
22,1775291044.727113,camera_init,2.676607,1.821609,0.000000,-0.031362,0.016876,0.913595,0.405062,2.307129,none,0.300
23,1775291046.027012,camera_init,2.452914,2.041566,0.000000,-0.030979,0.016657,0.931074,0.363130,2.398159,none,0.300
24,1775291047.227187,camera_init,2.192837,2.138743,0.000000,-0.035248,0.016705,0.980404,0.193098,2.753382,none,0.300
25,1775291048.527028,camera_init,1.891462,2.141671,0.000000,-0.035454,0.015905,0.999222,0.006684,3.129332,none,0.300
26,1775291049.927260,camera_init,1.592346,2.073737,0.000000,-0.034937,0.014454,0.994746,-0.095136,-2.949709,none,0.300
27,1775291051.327177,camera_init,1.306463,1.944423,0.000000,-0.032589,0.014985,0.974699,-0.220623,-2.695151,none,0.300
28,1775291052.627140,camera_init,1.070156,1.755421,0.000000,-0.033267,0.012304,0.941101,-0.336259,-2.454019,none,0.300
29,1775291053.927120,camera_init,0.871799,1.525024,0.000000,-0.036186,0.011776,0.905460,-0.422722,-2.266575,none,0.300
30,1775291055.327216,camera_init,0.723293,1.255698,0.000000,0.035370,-0.010073,-0.859225,0.510274,-2.068431,none,0.300
