seq,stamp,frame_id,x,y,z,qx,qy,qz,qw,yaw,task,tol
0,1776864558.105925,camera_init,0.150179,0.059289,0.000000,0.003019,0.017675,-0.004661,0.999828,-0.009220,none,0.300
1,1776864562.005199,camera_init,0.460807,0.056866,0.000000,0.001287,0.013905,0.001273,0.999902,0.002583,none,0.300
2,1776864563.005103,camera_init,0.781884,0.055970,0.000000,0.000411,0.013798,0.003936,0.999897,0.007885,none,0.300
3,1776864563.705105,camera_init,1.111825,0.061678,0.000000,0.002827,0.014366,0.006237,0.999873,0.012559,none,0.300
4,1776864564.505158,camera_init,1.433522,0.070721,0.000000,0.004552,0.015531,0.005003,0.999857,0.010152,none,0.300
5,1776864565.206074,camera_init,1.750753,0.062398,0.000000,0.002338,0.013133,0.010652,0.999854,0.021371,none,0.300
6,1776864565.905170,camera_init,2.061320,0.078372,0.000000,0.003143,0.016600,0.011614,0.999790,0.023342,none,0.300
7,1776864566.705087,camera_init,2.407816,0.082039,0.000000,0.002029,0.014941,0.016864,0.999744,0.033801,none,0.300
8,1776864567.405479,camera_init,2.721294,0.092370,0.000000,-0.000256,0.012429,0.020923,0.999704,0.041852,none,0.300
9,1776864568.005119,camera_init,3.046536,0.102611,0.000000,0.001820,0.016028,0.019107,0.999687,0.038289,none,0.300
10,1776864568.605275,camera_init,3.373127,0.111556,0.000000,-0.000089,0.012591,0.022830,0.999660,0.045673,none,0.300
11,1776864569.205190,camera_init,3.692305,0.126791,0.000000,-0.000015,0.011532,0.025833,0.999600,0.051683,none,0.300
12,1776864569.805205,camera_init,4.013055,0.146631,0.000000,0.000243,0.010749,0.031362,0.999450,0.062750,none,0.300
13,1776864570.406215,camera_init,4.351551,0.156478,0.000000,0.000545,0.013634,0.035930,0.999261,0.071909,none,0.300
14,1776864570.904953,camera_init,4.646553,0.211168,0.000000,0.001896,0.013030,0.077161,0.996932,0.154563,none,0.300
15,1776864571.505243,camera_init,4.914046,0.352579,0.000000,-0.009429,0.020144,0.260016,0.965348,0.526042,none,0.300
16,1776864571.905339,camera_init,5.025616,0.521995,0.000000,-0.014632,0.021223,0.426311,0.904209,0.880923,none,0.300
17,1776864572.405297,camera_init,5.079409,0.770724,0.000000,-0.024154,0.020953,0.595727,0.802550,1.276669,none,0.300
18,1776864573.005309,camera_init,5.157930,1.061460,0.000000,-0.022406,0.022021,0.604732,0.795809,1.299326,none,0.300
19,1776864573.605235,camera_init,5.227710,1.364872,0.000000,-0.024331,0.021508,0.629883,0.776010,1.363320,none,0.300
20,1776864574.305233,camera_init,5.249794,1.706670,0.000000,-0.024234,0.019594,0.677840,0.734549,1.490258,none,0.300
21,1776864575.005226,camera_init,5.267488,2.050780,0.000000,-0.024960,0.023553,0.690584,0.722438,1.525597,none,0.300
22,1776864575.705300,camera_init,5.286848,2.385689,0.000000,-0.026654,0.022789,0.694408,0.718726,1.536150,none,0.300
23,1776864576.402798,camera_init,5.299173,2.732402,0.000000,-0.025510,0.023628,0.695571,0.717616,1.539469,none,0.300
24,1776864577.104795,camera_init,5.305335,3.048432,0.000000,-0.023314,0.019846,0.697225,0.716198,1.543777,none,0.300
25,1776864577.805371,camera_init,5.306194,3.384451,0.000000,-0.023286,0.020779,0.713894,0.699558,1.590989,none,0.300
26,1776864578.505123,camera_init,5.291709,3.726489,0.000000,-0.027614,0.023089,0.724208,0.688641,1.620968,none,0.300
27,1776864579.105107,camera_init,5.287545,4.046068,0.000000,-0.027264,0.023964,0.711180,0.702072,1.583533,none,0.300
28,1776864579.805362,camera_init,5.297242,4.376558,0.000000,-0.026310,0.023387,0.697479,0.715740,1.544777,none,0.300
29,1776864580.505044,camera_init,5.300143,4.700918,0.000000,-0.023921,0.018336,0.698248,0.715222,1.546522,none,0.300
30,1776864581.105004,camera_init,5.305017,5.010297,0.000000,-0.020944,0.019167,0.701430,0.712173,1.555513,none,0.300
31,1776864581.705191,camera_init,5.307087,5.355005,0.000000,-0.021756,0.022222,0.705607,0.707921,1.567539,none,0.300
32,1776864582.305066,camera_init,5.312089,5.693404,0.000000,-0.022041,0.022319,0.705487,0.708029,1.567208,none,0.300
33,1776864582.905396,camera_init,5.315843,6.025059,0.000000,-0.021946,0.023469,0.706465,0.707018,1.570082,none,0.300
34,1776864583.505250,camera_init,5.315736,6.373745,0.000000,-0.028197,0.020770,0.708716,0.704624,1.576229,none,0.300
35,1776864584.005217,camera_init,5.315064,6.697168,0.000000,-0.026605,0.023586,0.710515,0.702783,1.581600,none,0.300
36,1776864584.505064,camera_init,5.313934,7.005349,0.000000,-0.025167,0.024506,0.708428,0.704909,1.575749,none,0.300
37,1776864585.104959,camera_init,5.346806,7.334569,0.000000,-0.024325,0.022629,0.677291,0.734965,1.488996,none,0.300
38,1776864585.705254,camera_init,5.368278,7.687835,0.000000,-0.023223,0.022622,0.674434,0.737623,1.481236,none,0.300
39,1776864586.304348,camera_init,5.398373,8.014852,0.000000,-0.026664,0.019492,0.678466,0.733889,1.491942,none,0.300
40,1776864586.905581,camera_init,5.420675,8.363512,0.000000,-0.024658,0.020542,0.689721,0.723363,1.522956,none,0.300
41,1776864587.505036,camera_init,5.420432,8.721750,0.000000,-0.025467,0.022591,0.707269,0.706124,1.572281,none,0.300
42,1776864588.005574,camera_init,5.413977,9.032079,0.000000,-0.030396,0.023564,0.720353,0.692541,1.609847,none,0.300
43,1776864588.505059,camera_init,5.408287,9.355767,0.000000,-0.029613,0.023276,0.721191,0.691711,1.612242,none,0.300
44,1776864589.005079,camera_init,5.400771,9.659021,0.000000,-0.026988,0.024314,0.711006,0.702247,1.583072,none,0.300
45,1776864589.605579,camera_init,5.412456,9.997815,0.000000,-0.029422,0.024174,0.696069,0.716964,1.540899,none,0.300
46,1776864590.205198,camera_init,5.418457,10.345704,0.000000,-0.022439,0.024095,0.696910,0.716403,1.543260,none,0.300
47,1776864590.705223,camera_init,5.429462,10.688940,0.000000,-0.024744,0.024578,0.699631,0.713653,1.550921,none,0.300
48,1776864591.305028,camera_init,5.436608,11.052375,0.000000,-0.023328,0.026277,0.699619,0.713652,1.551060,none,0.300
49,1776864591.805119,camera_init,5.437183,11.383283,0.000000,-0.025078,0.028406,0.702294,0.710877,1.558810,none,0.300
50,1776864592.305200,camera_init,5.451132,11.728716,0.000000,-0.026954,0.025546,0.703688,0.709538,1.562431,none,0.300
51,1776864592.805245,camera_init,5.454595,12.065861,0.000000,-0.028338,0.024615,0.706830,0.706386,1.571228,none,0.300
52,1776864593.305180,camera_init,5.451345,12.423484,0.000000,-0.027055,0.032644,0.706929,0.706013,1.572431,none,0.300
53,1776864593.805197,camera_init,5.457689,12.763036,0.000000,-0.027715,0.022901,0.706385,0.706914,1.569803,none,0.300
54,1776864594.305176,camera_init,5.445406,13.098660,0.000000,-0.022811,0.031927,0.709808,0.703301,1.580520,none,0.300
55,1776864594.804932,camera_init,5.443958,13.411660,0.000000,-0.023239,0.032388,0.712690,0.700346,1.588805,none,0.300
56,1776864595.305085,camera_init,5.441873,13.759820,0.000000,-0.024096,0.027582,0.716708,0.696411,1.599741,none,0.300
57,1776864595.705093,camera_init,5.435251,14.065010,0.000000,-0.026237,0.033127,0.715697,0.697132,1.597532,none,0.300
58,1776864596.205121,camera_init,5.431782,14.419283,0.000000,-0.019469,0.032253,0.716972,0.696083,1.601059,none,0.300
59,1776864596.703743,camera_init,5.421544,14.747907,0.000000,-0.028041,0.027284,0.718955,0.693955,1.606193,none,0.300
60,1776864597.205146,camera_init,5.404274,15.064480,0.000000,-0.027187,0.025030,0.721315,0.691621,1.612765,none,0.300
61,1776864597.705154,camera_init,5.380861,15.399367,0.000000,-0.021156,0.030091,0.722211,0.690694,1.615917,none,0.300
62,1776864598.205158,camera_init,5.371848,15.739054,0.000000,-0.024759,0.033581,0.721858,0.690782,1.615375,none,0.300
63,1776864623.105384,camera_init,5.350622,16.032263,0.000000,-0.023473,0.031994,0.717267,0.695668,1.601887,stop_10s,0.300
64,1776864630.005646,camera_init,5.338716,16.339528,0.000000,-0.022662,0.035791,0.721712,0.690896,1.615261,none,0.300
65,1776864631.105531,camera_init,5.353124,16.661622,0.000000,-0.020093,0.036588,0.665376,0.745341,1.458315,none,0.300
66,1776864632.605630,camera_init,5.354273,16.981270,0.000000,-0.017856,0.032787,0.732196,0.680070,1.645425,none,0.300
67,1776864633.505561,camera_init,5.342828,17.330326,0.000000,-0.019842,0.036030,0.720253,0.692491,1.611056,none,0.300
68,1776864634.105607,camera_init,5.336966,17.646996,0.000000,-0.018771,0.033413,0.718870,0.694088,1.606681,none,0.300
69,1776864634.605599,camera_init,5.320477,17.950727,0.000000,-0.024902,0.032850,0.720759,0.691959,1.612091,none,0.300
70,1776864635.205561,camera_init,5.291829,18.290971,0.000000,-0.020124,0.031655,0.724261,0.688505,1.622067,none,0.300
71,1776864635.705721,camera_init,5.286746,18.596122,0.000000,-0.019897,0.032503,0.707831,0.705353,1.574969,none,0.300
72,1776864636.204449,camera_init,5.281764,18.917745,0.000000,-0.019111,0.032014,0.709880,0.703335,1.580731,none,0.300
73,1776864636.705710,camera_init,5.288255,19.278762,0.000000,-0.021860,0.029698,0.708013,0.705236,1.575137,none,0.300
74,1776864637.205774,camera_init,5.284863,19.625447,0.000000,-0.021906,0.031903,0.711231,0.701892,1.584571,none,0.300
75,1776864637.705666,camera_init,5.283642,19.962175,0.000000,-0.022935,0.032389,0.714699,0.698305,1.594558,none,0.300
76,1776864638.105679,camera_init,5.279116,20.267383,0.000000,-0.023195,0.032198,0.718339,0.694561,1.605002,none,0.300
77,1776864638.505751,camera_init,5.266530,20.583664,0.000000,-0.024580,0.032377,0.719579,0.693220,1.608612,none,0.300
78,1776864638.905775,camera_init,5.264829,20.910484,0.000000,-0.022547,0.033480,0.718076,0.694793,1.604416,none,0.300
79,1776864639.305802,camera_init,5.256170,21.222172,0.000000,-0.023303,0.030847,0.720133,0.692758,1.610007,none,0.300
80,1776864639.705795,camera_init,5.245363,21.584915,0.000000,-0.022805,0.033675,0.724264,0.688322,1.622368,none,0.300
81,1776864640.105796,camera_init,5.228939,21.927554,0.000000,-0.027507,0.031455,0.728775,0.683477,1.635269,none,0.300
82,1776864640.505720,camera_init,5.211298,22.285209,0.000000,-0.026133,0.030822,0.729805,0.682460,1.638196,none,0.300
83,1776864640.905733,camera_init,5.196914,22.650365,0.000000,-0.027261,0.027653,0.728347,0.684107,1.633534,none,0.300
84,1776864641.305828,camera_init,5.175794,23.009868,0.000000,-0.028705,0.026919,0.729880,0.682441,1.637955,none,0.300
85,1776864641.705718,camera_init,5.145458,23.369578,0.000000,-0.025258,0.029908,0.734785,0.677170,1.652741,none,0.300
86,1776864642.105802,camera_init,5.125821,23.710151,0.000000,-0.023752,0.028466,0.729500,0.682975,1.636984,none,0.300
87,1776864642.505815,camera_init,5.112126,24.054924,0.000000,-0.025349,0.027790,0.722782,0.690051,1.617317,none,0.300
88,1776864642.905941,camera_init,5.137455,24.407345,0.000000,-0.023809,0.028365,0.688833,0.723973,1.521232,none,0.300
89,1776864643.305824,camera_init,5.161077,24.770062,0.000000,-0.018650,0.030162,0.689731,0.723197,1.523944,none,0.300
90,1776864643.705929,camera_init,5.173201,25.115697,0.000000,-0.019480,0.031238,0.692290,0.720679,1.531166,none,0.300
91,1776864644.105851,camera_init,5.188285,25.445688,0.000000,-0.020960,0.028824,0.695379,0.717759,1.539479,none,0.300
92,1776864644.505804,camera_init,5.204109,25.794709,0.000000,-0.021369,0.033446,0.692802,0.720035,1.532858,none,0.300
93,1776864644.905908,camera_init,5.214402,26.119835,0.000000,-0.020522,0.033008,0.692785,0.720096,1.532758,none,0.300
94,1776864645.305795,camera_init,5.224181,26.423442,0.000000,-0.020497,0.029378,0.696511,0.716652,1.542703,none,0.300
95,1776864645.705958,camera_init,5.238528,26.759085,0.000000,-0.021859,0.029676,0.699463,0.713717,1.551002,none,0.300
96,1776864646.105855,camera_init,5.250515,27.079201,0.000000,-0.024248,0.028589,0.703852,0.709357,1.563224,none,0.300
97,1776864646.503970,camera_init,5.256479,27.407726,0.000000,-0.023519,0.028662,0.703449,0.709778,1.562096,none,0.300
98,1776864646.906034,camera_init,5.261572,27.733735,0.000000,-0.025633,0.029693,0.703003,0.710104,1.560956,none,0.300
99,1776864647.306020,camera_init,5.264639,28.062576,0.000000,-0.025753,0.028679,0.705364,0.707797,1.567507,none,0.300
100,1776864647.705846,camera_init,5.260467,28.442990,0.000000,-0.025148,0.031145,0.710875,0.702178,1.583463,none,0.300
101,1776864648.105957,camera_init,5.256866,28.829178,0.000000,-0.021373,0.026842,0.714174,0.699126,1.592379,none,0.300
102,1776864648.505894,camera_init,5.250372,29.210919,0.000000,-0.023021,0.027341,0.713164,0.700085,1.589546,none,0.300
103,1776864648.905915,camera_init,5.251336,29.602179,0.000000,-0.021969,0.025007,0.713273,0.700095,1.589608,none,0.300
104,1776864649.305853,camera_init,5.243802,29.985475,0.000000,-0.022407,0.026335,0.718028,0.695155,1.603394,none,0.300
105,1776864649.705945,camera_init,5.232345,30.376233,0.000000,-0.021336,0.024638,0.721342,0.691812,1.612779,none,0.300
106,1776864650.106009,camera_init,5.226487,30.761513,0.000000,-0.026430,0.024423,0.720513,0.692507,1.610380,none,0.300
107,1776864650.506045,camera_init,5.173699,31.152425,0.000000,-0.029327,0.024985,0.724759,0.687924,1.622773,none,0.300
108,1776864650.906077,camera_init,5.113492,31.549094,0.000000,-0.030727,0.026275,0.757106,0.652040,1.719630,none,0.300
109,1776864651.305958,camera_init,4.987390,31.894138,0.000000,-0.032432,0.027096,0.845016,0.533069,2.016490,none,0.300
110,1776864651.705995,camera_init,4.753212,32.136518,0.000000,-0.035771,0.027098,0.926181,0.374399,2.374300,none,0.300
111,1776864652.106036,camera_init,4.450091,32.264889,0.000000,-0.033968,0.028731,0.981045,0.188604,2.763428,none,0.300
112,1776864652.506088,camera_init,4.100230,32.349337,0.000000,-0.038515,0.025442,0.992658,0.111800,2.919016,none,0.300
113,1776864652.906038,camera_init,3.738622,32.400125,0.000000,-0.040603,0.023993,0.997466,0.053275,3.036702,none,0.300
114,1776864653.305987,camera_init,3.400455,32.406112,0.000000,-0.035894,0.023575,0.998667,0.028654,3.085876,none,0.300
115,1776864653.706009,camera_init,3.048265,32.418782,0.000000,-0.038264,0.024143,0.998807,0.018369,3.106634,none,0.300
116,1776864654.105030,camera_init,2.723698,32.422242,0.000000,-0.039432,0.025247,0.998901,-0.002260,-3.135067,none,0.300
117,1776864654.505070,camera_init,2.380661,32.425162,0.000000,-0.039410,0.021167,0.998984,-0.005380,-3.129137,none,0.300
118,1776864654.905034,camera_init,2.050335,32.425142,0.000000,-0.039695,0.022078,0.998949,-0.006097,-3.127614,none,0.300
119,1776864655.305202,camera_init,1.723585,32.422490,0.000000,-0.041637,0.022341,0.998867,-0.005568,-3.128564,none,0.300
120,1776864655.706107,camera_init,1.395630,32.421938,0.000000,-0.038656,0.022908,0.998942,-0.009797,-3.120184,none,0.300
121,1776864656.105210,camera_init,1.059376,32.416310,0.000000,-0.040183,0.022846,0.998826,-0.014459,-3.110770,none,0.300
122,1776864656.504809,camera_init,0.732567,32.460478,0.000000,-0.040963,0.023944,0.995772,0.078660,2.985703,none,0.300
123,1776864656.904188,camera_init,0.439909,32.634934,0.000000,-0.043046,0.026035,0.955680,0.290078,2.553423,none,0.300
124,1776864657.305034,camera_init,0.215041,32.892427,0.000000,-0.039963,0.026299,0.906330,0.419854,2.274634,none,0.300
125,1776864657.705130,camera_init,0.071544,33.211346,0.000000,-0.038558,0.025282,0.818483,0.572678,1.920438,none,0.300
126,1776864658.105157,camera_init,0.026647,33.545150,0.000000,-0.032942,0.023838,0.763404,0.644641,1.738843,none,0.300
127,1776864658.505067,camera_init,-0.033628,33.861772,0.000000,-0.033972,0.025333,0.762441,0.645668,1.736054,none,0.300
128,1776864658.905025,camera_init,-0.105629,34.186172,0.000000,-0.034770,0.027346,0.763632,0.644134,1.740025,none,0.300
129,1776864659.305123,camera_init,-0.164867,34.496513,0.000000,-0.034474,0.028959,0.767167,0.639865,1.751271,none,0.300
130,1776864659.706114,camera_init,-0.217019,34.806544,0.000000,-0.034753,0.029074,0.767249,0.639747,1.751550,none,0.300
131,1776864660.105096,camera_init,-0.277513,35.141698,0.000000,-0.030556,0.026532,0.767252,0.640068,1.751118,none,0.300
132,1776864660.505092,camera_init,-0.334377,35.481334,0.000000,-0.034236,0.029099,0.767549,0.639414,1.752480,none,0.300
133,1776864660.906134,camera_init,-0.394720,35.832167,0.000000,-0.033219,0.027091,0.768317,0.638632,1.754592,none,0.300
134,1776864661.305152,camera_init,-0.466820,36.193383,0.000000,-0.030476,0.027683,0.773443,0.632527,1.770760,none,0.300
135,1776864661.706235,camera_init,-0.538355,36.551587,0.000000,-0.031137,0.028483,0.773360,0.632561,1.770622,none,0.300
136,1776864662.106184,camera_init,-0.609535,36.921946,0.000000,-0.031822,0.029373,0.774045,0.631647,1.772938,none,0.300
137,1776864662.505002,camera_init,-0.686335,37.292323,0.000000,-0.032138,0.032124,0.774880,0.630473,1.776008,none,0.300
138,1776864662.905211,camera_init,-0.801096,37.636932,0.000000,-0.032425,0.028298,0.812906,0.580803,1.901199,none,0.300
139,1776864663.305943,camera_init,-0.934919,37.962982,0.000000,-0.034639,0.031017,0.835152,0.548051,1.980749,none,0.300
140,1776864663.705285,camera_init,-1.080383,38.295148,0.000000,-0.034723,0.026621,0.841674,0.538211,2.004067,none,0.300
141,1776864664.105019,camera_init,-1.233214,38.622801,0.000000,-0.036068,0.029236,0.846852,0.529798,2.024043,none,0.300
142,1776864664.506195,camera_init,-1.402588,38.938165,0.000000,-0.036257,0.028374,0.855186,0.516273,2.055837,none,0.300
143,1776864664.904653,camera_init,-1.581255,39.259764,0.000000,-0.037081,0.029741,0.862537,0.503757,2.085047,none,0.300
144,1776864665.303163,camera_init,-1.762501,39.586594,0.000000,-0.037326,0.028300,0.863785,0.501678,2.089777,none,0.300
145,1776864665.705237,camera_init,-1.942003,39.910973,0.000000,-0.036946,0.030589,0.864567,0.500223,2.093305,none,0.300
146,1776864666.105226,camera_init,-2.133390,40.245431,0.000000,-0.035355,0.029588,0.865107,0.499464,2.095131,none,0.300
147,1776864666.505271,camera_init,-2.322536,40.570550,0.000000,-0.038189,0.029736,0.867644,0.494824,2.105656,none,0.300
148,1776864666.905347,camera_init,-2.513172,40.900379,0.000000,-0.036125,0.028292,0.869228,0.492277,2.111613,none,0.300
149,1776864667.205459,camera_init,-2.694277,41.189353,0.000000,-0.038080,0.029780,0.871119,0.488686,2.119819,none,0.300
150,1776864667.505264,camera_init,-2.868088,41.477411,0.000000,-0.036070,0.029707,0.872295,0.486742,2.124435,none,0.300
151,1776864667.805217,camera_init,-3.042718,41.763144,0.000000,-0.038724,0.027169,0.874527,0.482665,2.133446,none,0.300
152,1776864668.105351,camera_init,-3.218391,42.057327,0.000000,-0.041205,0.030088,0.874643,0.482075,2.134771,none,0.300
153,1776864668.405248,camera_init,-3.399532,42.337548,0.000000,-0.039454,0.028086,0.875979,0.479912,2.139746,none,0.300
154,1776864668.705265,camera_init,-3.582019,42.619600,0.000000,-0.037510,0.029161,0.877348,0.477498,2.145479,none,0.300
155,1776864669.005371,camera_init,-3.763348,42.905285,0.000000,-0.039344,0.029680,0.878376,0.475423,2.150111,none,0.300
156,1776864669.305120,camera_init,-3.951213,43.189632,0.000000,-0.042875,0.029793,0.879874,0.472331,2.156885,none,0.300
157,1776864669.605377,camera_init,-4.136778,43.476402,0.000000,-0.042327,0.031793,0.879254,0.473403,2.154618,none,0.300
158,1776864669.905293,camera_init,-4.322557,43.751018,0.000000,-0.039147,0.030298,0.881419,0.469735,2.163122,none,0.300
159,1776864670.605352,camera_init,-4.520077,44.035544,0.000000,-0.038558,0.031482,0.878398,0.475330,2.150490,none,0.300
160,1776864672.305122,camera_init,-4.627104,44.327734,0.000000,-0.037349,0.028241,0.816853,0.574943,1.915131,none,0.300
161,1776864672.805225,camera_init,-4.725786,44.656202,0.000000,-0.042012,0.029531,0.810680,0.583233,1.894230,none,0.300
162,1776864673.505124,camera_init,-4.834902,44.972865,0.000000,-0.042621,0.032920,0.810715,0.582959,1.894975,none,0.300
163,1776864674.304812,camera_init,-4.870890,45.281681,0.000000,-0.040127,0.030565,0.721371,0.690709,1.613645,none,0.300
164,1776864676.105469,camera_init,-4.913274,45.609888,0.000000,-0.039238,0.026162,0.776954,0.627789,1.781969,none,0.300
165,1776864677.405080,camera_init,-5.018732,45.759531,0.000000,-0.045516,0.035068,0.880261,0.470998,2.160060,none,0.300
166,1776864677.905119,camera_init,-5.070388,45.718612,0.000000,-0.046474,0.032102,0.949083,0.309920,2.512086,none,0.300
167,1776864678.505095,camera_init,-5.103613,45.651029,0.000000,-0.043921,0.029991,0.990517,0.126676,2.889497,none,0.300
168,1776864696.205009,camera_init,-5.117794,45.600456,0.000000,-0.041089,0.026950,0.998747,-0.009470,-3.120390,stop_10s,0.300
169,1776864716.605202,camera_init,-5.459483,45.592729,0.000000,-0.042125,0.028131,0.998551,-0.018169,-3.102794,none,0.300
170,1776864717.305374,camera_init,-5.770538,45.589038,0.000000,-0.043466,0.028050,0.998508,-0.017481,-3.104097,none,0.300
171,1776864718.005363,camera_init,-6.108608,45.562455,0.000000,-0.040421,0.026235,0.997925,-0.042696,-3.053874,none,0.300
172,1776864718.705558,camera_init,-6.393490,45.428262,0.000000,-0.037461,0.022785,0.972226,-0.229899,-2.675265,none,0.300
173,1776864719.405533,camera_init,-6.642108,45.246465,0.000000,-0.034896,0.022579,0.952034,-0.303156,-2.523340,none,0.300
174,1776864720.105387,camera_init,-6.875590,44.991203,0.000000,-0.036507,0.019442,0.916021,-0.398992,-2.318345,none,0.300
175,1776864720.805485,camera_init,-7.040055,44.693443,0.000000,0.030688,-0.015441,-0.844019,0.535211,-2.010287,none,0.300
176,1776864721.505481,camera_init,-7.132943,44.365423,0.000000,0.031359,-0.015683,-0.803469,0.594313,-1.866868,none,0.300
177,1776864722.105569,camera_init,-7.192518,44.047217,0.000000,0.026570,-0.013298,-0.764323,0.644148,-1.740389,none,0.300
178,1776864722.605036,camera_init,-7.261880,43.717902,0.000000,0.027394,-0.015572,-0.763989,0.644460,-1.739478,none,0.300
179,1776864723.005675,camera_init,-7.310776,43.364982,0.000000,0.022022,-0.013484,-0.753572,0.656858,-1.707341,none,0.300
180,1776864723.305574,camera_init,-7.358400,43.026770,0.000000,0.030110,-0.009348,-0.752391,0.657961,-1.703619,none,0.300
181,1776864723.705546,camera_init,-7.408222,42.694213,0.000000,0.025355,-0.011604,-0.752342,0.658183,-1.703526,none,0.300
182,1776864724.105450,camera_init,-7.442444,42.371818,0.000000,0.025116,-0.010272,-0.738438,0.673775,-1.661739,none,0.300
183,1776864724.601728,camera_init,-7.451184,41.994188,0.000000,0.025115,-0.007763,-0.704729,0.708989,-1.564201,none,0.300
184,1776864725.104112,camera_init,-7.366721,41.663589,0.000000,0.018522,-0.005357,-0.603212,0.797348,-1.295076,none,0.300
185,1776864725.605098,camera_init,-7.221182,41.327422,0.000000,0.015582,-0.004055,-0.545949,0.837664,-1.155055,none,0.300
186,1776864726.005614,camera_init,-7.055331,40.955435,0.000000,0.016191,-0.001841,-0.534804,0.844819,-1.128512,none,0.300
187,1776864726.405723,camera_init,-6.910702,40.627103,0.000000,0.013880,-0.007082,-0.541562,0.840517,-1.144695,none,0.300
188,1776864726.806872,camera_init,-6.759448,40.307125,0.000000,0.016319,-0.002216,-0.535784,0.844195,-1.130838,none,0.300
189,1776864727.205741,camera_init,-6.600163,40.011675,0.000000,0.015750,0.001517,-0.497736,0.867184,-1.041880,none,0.300
190,1776864727.605259,camera_init,-6.396302,39.763921,0.000000,0.009891,0.003545,-0.417512,0.908611,-0.861352,none,0.300
191,1776864728.005734,camera_init,-6.149004,39.562587,0.000000,0.007897,0.005573,-0.332902,0.942912,-0.678703,none,0.300
192,1776864728.405754,camera_init,-5.889983,39.402547,0.000000,0.003509,0.005593,-0.282541,0.959233,-0.572874,none,0.300
193,1776864728.805645,camera_init,-5.595449,39.216620,0.000000,0.003441,0.007646,-0.278357,0.960441,-0.564167,none,0.300
194,1776864729.205631,camera_init,-5.287391,39.021912,0.000000,0.004245,0.006347,-0.276584,0.960960,-0.560457,none,0.300
195,1776864729.605222,camera_init,-4.985570,38.831141,0.000000,0.003343,0.008954,-0.269317,0.963004,-0.545377,none,0.300
196,1776864730.005672,camera_init,-4.672024,38.634645,0.000000,0.004604,0.006916,-0.267087,0.963637,-0.540717,none,0.300
197,1776864730.305675,camera_init,-4.408382,38.470605,0.000000,0.006745,0.008061,-0.269176,0.963034,-0.545022,none,0.300
198,1776864730.705697,camera_init,-4.111988,38.292104,0.000000,0.007644,0.009533,-0.268182,0.963291,-0.542944,none,0.300
199,1776864731.105757,camera_init,-3.812384,38.095958,0.000000,0.006539,0.009902,-0.288191,0.957499,-0.584639,none,0.300
200,1776864731.505682,camera_init,-3.553976,37.869422,0.000000,0.009349,0.007408,-0.353278,0.935442,-0.722074,none,0.300
201,1776864731.905756,camera_init,-3.358172,37.580378,0.000000,0.014355,0.004318,-0.465788,0.884769,-0.968943,none,0.300
202,1776864732.305662,camera_init,-3.229078,37.271689,0.000000,0.016649,0.002453,-0.562649,0.826524,-1.195085,none,0.300
203,1776864732.705770,camera_init,-3.188781,36.928842,0.000000,0.021145,-0.002134,-0.669216,0.742764,-1.466284,none,0.300
204,1776864733.105705,camera_init,-3.244374,36.589508,0.000000,0.026739,-0.007852,-0.755846,0.654156,-1.714082,none,0.300
205,1776864733.505744,camera_init,-3.365292,36.270658,0.000000,0.030249,-0.011323,-0.823883,0.565839,-1.936995,none,0.300
206,1776864733.905788,camera_init,-3.543551,35.966819,0.000000,-0.032897,0.011967,0.875175,-0.482539,-2.132598,none,0.300
207,1776864734.305361,camera_init,-3.806751,35.729580,0.000000,-0.034624,0.013514,0.920738,-0.388406,-2.341825,none,0.300
208,1776864734.702103,camera_init,-4.024564,35.496377,0.000000,-0.035106,0.013584,0.920522,-0.388873,-2.340760,none,0.300
209,1776864735.105704,camera_init,-4.250109,35.267398,0.000000,-0.034960,0.013930,0.919334,-0.391674,-2.334670,none,0.300
210,1776864735.504370,camera_init,-4.471348,35.033841,0.000000,-0.035986,0.015456,0.917965,-0.394724,-2.327864,none,0.300
211,1776864736.005133,camera_init,-4.735762,34.767662,0.000000,-0.035041,0.014134,0.924356,-0.379656,-2.360728,none,0.300
212,1776864736.405148,camera_init,-4.979893,34.559836,0.000000,-0.034702,0.015393,0.938496,-0.343198,-2.438983,none,0.300
213,1776864736.805714,camera_init,-5.285035,34.419181,0.000000,-0.038571,0.017867,0.972664,-0.228294,-2.678760,none,0.300
